"No.","Time","Source","Destination","Protocol","Length","Info"
"86","3.125194","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"87","3.125194","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"88","3.125194","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"89","3.125194","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"90","3.125194","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"91","3.125194","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"92","3.127579","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","563","443  >  63671 Len=501"
"93","3.127870","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1286","443  >  63671 Len=1224"
"94","3.127870","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"95","3.127870","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"96","3.127870","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1173","443  >  63671 Len=1111"
"97","3.127870","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1284","443  >  63671 Len=1222"
"98","3.127870","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","169","443  >  63671 Len=107"
"99","3.127870","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","586","443  >  63671 Len=524"
"100","3.127870","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","293","443  >  63671 Len=231"
"101","3.127870","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1284","443  >  63671 Len=1222"
"102","3.128122","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200e","UDP","94","63671  >  443 Len=32"
"103","3.129900","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"104","3.129900","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"105","3.129900","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"106","3.129900","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"107","3.129900","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"108","3.129900","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"109","3.129900","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","97","443  >  63671 Len=35"
"110","3.130869","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200e","UDP","94","63671  >  443 Len=32"
"111","3.138741","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:82b::2016","QUIC","94","Protected Payload (KP0), DCID=e575e53a00fd71ff"
"112","3.140446","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","88","443  >  64735 Len=26"
"113","3.141352","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:832::200a","QUIC","94","Protected Payload (KP0), DCID=f27cac3b1b977e43"
"114","3.142871","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:82b::2016","QUIC","1292","Initial, DCID=5ec57b2827c2c51a, PKN: 1, PING, PADDING, PING, PING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, PING, CRYPTO, CRYPTO, CRYPTO, PING, PING"
"115","3.143312","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:82b::2016","QUIC","140","0-RTT, DCID=5ec57b2827c2c51a"
"116","3.143895","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:82b::2016","QUIC","784","0-RTT, DCID=5ec57b2827c2c51a"
"117","3.144027","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200e","UDP","95","63671  >  443 Len=33"
"118","3.162363","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","88","443  >  64735 Len=26"
"119","3.165977","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","88","443  >  63671 Len=26"
"120","3.176371","2800:3f0:4001:803::2003","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","1292","Initial, SCID=fbc94d3dd57b7dba, PKN: 1, ACK, PADDING"
"121","3.205555","2800:3f0:4001:803::2003","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","1292","Protected Payload (KP0)"
"122","3.205845","2800:3f0:4001:803::2003","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","860","Protected Payload (KP0)"
