"No.","Time","Source","Destination","Protocol","Length","Info"
"100","1.915229","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","85","443  >  55710 Len=23"
"101","1.916709","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200a","QUIC","1292","Initial, DCID=70e07a8e665624b8, PKN: 1, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PING, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, PADDING, PING, CRYPTO, PADDING, CRYPTO, PADDING, PING, CRYPTO"
"102","1.917006","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200a","QUIC","140","0-RTT, DCID=70e07a8e665624b8"
"103","1.925409","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
"104","1.930914","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
"105","1.931242","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","97","54970  >  443 Len=35"
"106","1.935045","2800:3f0:4001:808::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","182","Protected Payload (KP0)"
"107","1.939259","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
"108","1.940625","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","95","55710  >  443 Len=33"
"109","1.944870","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","878","443  >  54970 Len=816"
"110","1.945204","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","93","54970  >  443 Len=31"
"111","1.955050","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1287","443  >  54970 Len=1225"
"112","1.960120","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","86","443  >  55710 Len=24"
"113","1.960473","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:808::2016","QUIC","94","Protected Payload (KP0), DCID=fc4e8b4a86d13764"
"114","1.960798","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
"115","1.961107","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","93","54970  >  443 Len=31"
"116","1.976239","2800:3f0:4001:82d::2003","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","TCP","86","443  >  58952 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM WS=256"
"117","1.976239","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
"118","1.976336","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:82d::2003","TCP","74","58952  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"119","1.976698","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:82d::2003","TLSv1.3","845","Client Hello"
"120","1.977074","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
"121","1.977263","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","93","54970  >  443 Len=31"
"122","1.981927","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
"123","1.995706","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
"124","1.996287","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","93","54970  >  443 Len=31"
"125","1.997409","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","87","443  >  55710 Len=25"
"126","1.997409","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
"127","1.997409","2800:3f0:4001:820::200a","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","1292","Initial, SCID=f0e07a8e665624b8, PKN: 1, ACK, PADDING"
"128","1.997670","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
"129","1.997804","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","93","54970  >  443 Len=31"
"130","2.005900","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
